Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
UBE3A,ubiquitin protein ligase E3A,7337,"AS, ANCR, E6-AP, HPVE6A, EPVE6AP, FLJ26981",15,15q11.2,Q05086,601623,"This gene encodes an E3 ubiquitin-protein ligase, part of the ubiquitin protein degradation system. This imprinted gene is maternally expressed in brain and biallelically expressed in other tissues.",Genetic Association,"Studies have found genetic association and rare variations in the UBE3A gene that are associated with autism. Association was found in families of the Collaborative Linkage Study of Autism (Nurmi et al., 2001), and rare variants were found in cases of European ancestry.",28,0,,0,,11543639,8988171,"16575182,16754645,18846633,19430469,23424281,23439649,23671107,25867122,26166566,26255772,27232889","19404257,21624971,22558107,23708187,25363768,25621899,25884337,27620904,27848944,27864847,28559284,28940097,29286531,31031587,32722525"
UBE3B,ubiquitin protein ligase E3B,89910,"DKFZp586K2123, DKFZp686A1051, FLJ45294, MGC131858, MGC78388",12,12q24.11,Q7Z3V4,608047,"The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: E1 ubiquitin-activating enzymes, E2 ubiquitin-conjugating enzymes, and E3 ubiquitin-protein ligases. This gene encodes a member of the E3 ubiquitin-conjugating enzyme family which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme and transfers the ubiquitin to the targeted substrates. A HECT (homology to E6-AP C-terminus) domain in the C-terminus of the longer isoform of this protein is the catalytic site of ubiquitin transfer and forms a complex with E2 conjugases.",Rare single gene variant,"A homozygous mutation in the UBE3B gene was found to segregate perfectly with disease in a multiplex ASD family. No homozygotes for this mutation were observed in 1344 control chromosomes. An additional compound heterozygous mutation in the UBE3B gene was identified in one ASD case from the replication cohort that was not observed in 371 controls (Chahrour et al., 2012).",7,0,,0,,22511880,,"23200864,23687348","23999528,24615390,29635114,31674007"
UBE3C,Ubiquitin protein ligase E3C,9690,"tcag7.998, HECTH2",7,7q36.3,Q15386,614454,E3 ubiquitin-protein ligase that accepts ubiquitin from the E2 ubiquitin-conjugating enzyme UBE2D1 in the form of a thioester and then directly transfers the ubiquitin to targeted substrates.,Rare Single Gene variant,"De novo variants in this gene were identified in two separate reports using ASD probands from the Simons Simplex Collection (Sanders et al. 2012a, 2012b)",4,0,,0,,22495309,,26401017,"23160955,27525107"
UBL7,ubiquitin-like 7 (bone marrow stromal cell-derived),84993,"SB132, BMSC-UbP, TCBA1",15,15q24.1,Q96S82,609748,This protein binds ubiquitin.,Rare Single Gene variant,"A rare duplication in the UBL7 gene has been identified with ASD (Salyakina et al., 2011).",1,0,,0,,22016809,,,
UBN2,ubinuclein 2,254048,,7,7q34,Q6ZU65,613841,This gene encodes a protein of unknown function.,Rare single gene variant,"A de novo loss-of-function (LoF) variant in the UBN2 gene was first identified in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014). A second de novo LoF variant in this gene was identified by whole genome sequencing in an ASD proband from a multiplex family as part of the MSSNG initiative in Yuen et al., 2017. Based on the discovery of two de novo LoF variants in ASD cases, a probability of LoF intolerance rate (pLI) > 0.9, and a higher-than expected mutation rate (a false discovery rate < 15%), UBN2 was determined to be an ASD candidate gene in Yuen et al., 2017.",4,0,,0,,25363768,,28263302,"25363760,31674007"
UBR1,ubiquitin protein ligase E3 component n-recognin 1,197131,JBS,15,15q15.2,Q8IWV7,605981,"The N-end rule pathway is one proteolytic pathway of the ubiquitin system. The recognition component of this pathway, encoded by this gene, binds to a destabilizing N-terminal residue of a substrate protein and participates in the formation of a substrate-linked multiubiquitin chain. This leads to the eventual degradation of the substrate protein.  Homozygous or compound heterozygous mutations in this gene are responsible for Johanson-Blizzard syndrome (OMIM 243800), an autosomal recessive disorder characterized by poor growth, mental retardation, and variable dysmorphic features, including aplasia or hypoplasia of the nasal alae, abnormal hair patterns or scalp defects, and oligodontia.",Rare single gene variant,"Seven protein-truncating variants in the UBR1 gene were identified in case samples from the Danish iPSYCH study (Satterstrom et al., 2020).  TADA analysis of de novo variants from the Simons Simplex Collection and the Autism Sequencing Consortium and protein-truncating variants from iPSYCH in Satterstrom et al., 2020 identified UBR1 as a candidate gene with a false discovery rate (FDR) between 0.05 and 0.1 (0.05 < FDR  0.1).",1,0,,0,,31981491,,,
UBR5,ubiquitin protein ligase E3 component n-recognin 5,51366,"DD5, EDD, EDD1, HYD",8,8q22.3,O95071,608413,"This gene encodes a progestin-induced protein, which belongs to the HECT (homology to E6-AP carboxyl terminus) family. The HECT family proteins function as E3 ubiquitin-protein ligases, targeting specific proteins for ubiquitin-mediated proteolysis. This gene potentially has a role in regulation of cell proliferation or differentiation.",Rare single gene variant,"A de novo frameshift variant in the UBR5 gene has been identified in an ASD proband from the Simons Simplex Collection (PMID 25961944). A missense mutation in the UBR5 gene was detected in all affected individuals of a Japanese pedigree (6 affected individuals through 4 generations) with familial adult myoclonic epilepsy, but not in any non-affected family members; this variant was also not detected in 85 unrelated healthy residents of the pedigree's community, nor in 24 control individuals of various ethnicities (Kato et al., 2012).",7,0,,0,,23029623,,26401017,"25363760,25533962,25961944,28714951,31398340"
UBR7,ubiquitin protein ligase E3 component n-recognin 7 (putative),55148,"C14orf130, FLJ10483, MGC9518",14,14q32.12,Q8N806,613816,"E3 ubiquitin-protein ligase which is a component of the N-end rule pathway. Recognizes and binds to proteins bearing specific amino-terminal residues that are destabilizing according to the N-end rule, leading to their ubiquitination and subsequent degradation",Rare Single Gene variant,"A rare mutation in the UBR7 gene has been identified with ASD (Najmabadi et al., 2011).",1,0,,0,,21937992,,,
UCN3,urocortin 3,114131,"SCP, SPC, UCNIII",10,10p15.1,Q969E3,605901,"This gene encodes a member of the sauvagine/corticotropin-releasing factor/urotensin I family of proteins. The encoded preproprotein is proteolytically processed to generate the mature peptide hormone, which is secreted by pancreatic beta and alpha cells. This hormone is an endogenous ligand for corticotropin-releasing factor receptor 2 and may regulate insulin secretion in response to plasma glucose levels. In the brain, the encoded protein may be responsible for the effects of stress on appetite.",Functional,"UCN3-deficient mice displayed altered social approach in the social maze test by normal novel object preference; conversely, optogenetic activation of medial amygdala UCN3 neurons increased preference for novel mice (Shemesh et al., 2016).",1,0,,0,,27428651,,,
UIMC1,ubiquitin interaction motif containing 1,51720,"RAP80, X2HRIP110",5,5q35.2,Q96RL1,609433,This gene encodes a nuclear protein that interacts with Brca1 (breast cancer 1) in a complex to recognize and repair DNA lesions. This protein binds ubiquitinated lysine 63 of histone H2A and H2AX. This protein may also function as a repressor of transcription.,Rare single gene variant,"De novo missense variants and transmitted frameshift variants in the UIMC1 gene have been observed in ASD probands in multiple studies (Iossifov et al., 2014; Yuen et al., 2017; Ruzzo et al., 2019).  TADA analysis of de novo and transmitted variants from iHART, the Simons Simplex Collection, the Autism Sequencing Consortium, and the Autism Genome Project in Ruzzo et al., 2019 identified UIMC1 as an ASD candidate gene with a false discovery rate (FDR) < 0.1.",3,0,,0,,25363768,,31398340,28263302
UNC13A,unc-13 homolog A,23025,Munc13-1,19,19p13.11,Q9UPW8,609894,Plays a role in vesicle maturation during exocytosis as a target of the diacylglycerol second messenger pathway. Involved in neurotransmitter release by acting in synaptic vesicle priming prior to vesicle fusion and participates in the activity-dependent refilling of readily releasable vesicle pool (RRP). Essential for synaptic vesicle maturation in most excitatory/glutamatergic but not inhibitory/GABA-mediated synapses. Also involved in secretory granule priming in insulin secretion.,Rare single gene variant,"A de novo missense variant in the UNC13A gene (p.Pro814Leu) was identified in a 6-year-old diagnosed with ASD and comorbid ADHD and presenting with developmental delay and a dyskinetic movement disorder in Lipstein et al., 2017. Functional analysis in murine neuronal cultures and C. elegans demonstrated that this variant resulted in a gain-of-function effect characterized by increased fusion propensity of synaptic vesicles, leading to increased initial synaptic vesicle release probability and abnormal short-term synaptic plasticity.",7,0,,0,,28192369,,32778826,"23352160,25363760,28771251,28867142,31130284"
UNC5D,unc-5 netrin receptor D,137970,"PRO34692, Unc5h4",8,8p12,Q6UXZ4,616466,Receptor for the netrin NTN4 that promotes neuronal cell survival. Plays a role in cell-cell adhesion and cell guidance. Receptor for netrin involved in cell migration. Plays a role in axon guidance by mediating axon repulsion of neuronal growth cones in the developing nervous system upon ligand binding. May play a role in apoptosis in response to DNA damage. It also acts as a dependence receptor required for apoptosis induction when not associated with netrin ligand. Mediates cell-cell adhesion via its interaction with FLRT3 on an adjacent cell.,Rare single gene variant,"A homozygous deletion adjacent to the UNC5D gene that overlapped with a non-coding epigenetic mark was identified in an ASD proband born to consanguineous parents from the HMCA cohort (Schmitz-Abe et al., 2020).  A region of homozygosity (ROH) segment overlapping the UNC5D gene had previously been identified in four ASD probands from the Simons Simplex Collection and no unaffected siblings (Gamsiz et al. 2013), and rare inherited intergenic deletions upstream of UNC5D that overlapped a human expressed sequence tag (EST) had previously been observed in four unrelated ASD probands in Walker and Scherer, 2013.",3,0,,0,,32820185,,,"23830515,23879678"
UNC79,"unc-79 homolog, NALCN channel complex subunit",57578,KIAA1409,14,14q32.12,Q9P2D8,616884,"This gene encodes for a component of the NALCN sodium channel complex, a cation channel activated either by neuropeptides substance P or neurotensin that controls neuronal excitability and that is responsible for Na(+) leak currents. The protein encoded by this gene, along with UNC80, is an accessory subunit of the NALCN channel that contributes to the Ca(2+) sensitivity of the channel.",Rare single gene variant,"A de novo loss-of-function (LoF) variant in the UNC79 gene was identified in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2014. A second LoF variant in this gene was identified as a mosaic mutation in another ASD proband from the Simons Simplex Collection in Krupp et al., 2017.",4,0,,0,,25363768,,28867142,"30923172,31398340"
UNC80,"unc-80 homolog, NALCN activator",285175,"C2orf21, UNC-80",2,2q34,Q8N2C7,612636,"Component of the NALCN sodium channel complex, required for channel regulation. This complex is a cation channel activated by neuropeptides substance P, neurotensin, and extracellular calcium that regulates neuronal excitability by controlling the sizes of NALCN-dependent sodium-leak current. UNC80 is essential for NALCN sensitivity to extracellular calcium. Biallelic variants in UNC80 are responsible for infantile hypotonia with psychomotor retardation and characteristic facies-2 (IHPRF2; OMIM 616801).",Rare single gene variant,"Two de novo variants in the UNC80 gene (one nonsense variant, one missense variant predicted to be damaging) were identified in ASD probands from the Simons Simplex Collection (Iossifov et al., 2014). An additional de novo loss-of-function (LoF) variant in the UNC80 gene was identified in a proband from the SAGE cohort in Stessman et al., 2017; while no phenotypic information was provided for the SAGE proband in this report, UNC80 was identified as one of eight genes showing a bias for autism versus intellectual disability (two one-tailed binomial tests, P<0.025 for either ASD or ID/DD cases).",5,0,,0,,25363768,,28191889,"25533962,28708303,30564305"
UPB1,beta-ureidopropionase 1,51733,BUP1,22,22q11.23,Q9UBR1,606673,"This gene encodes a protein that belongs to the CN hydrolase family. Beta-ureidopropionase catalyzes the last step in the pyrimidine degradation pathway. The pyrimidine bases uracil and thymine are degraded via the consecutive action of dihydropyrimidine dehydrogenase (DHPDH), dihydropyrimidinase (DHP) and beta-ureidopropionase (UP) to beta-alanine and beta-aminoisobutyric acid, respectively.",Rare single gene variant,"A maternally-inherited deletion disrupting two exons of the UPB1 gene was identified in a male ASD patient and an unaffected female sibling; this deletion was not observed in 5139 controls (Prasad et al., 2012).",2,0,,0,,23275889,,,31398340
UPF2,"UPF2, regulator of nonsense mediated mRNA decay",26019,"HUPF2, RENT2, smg-3",10,10p14,Q9HAU5,605529,"This gene encodes a protein that is part of a post-splicing multiprotein complex involved in both mRNA nuclear export and mRNA surveillance. mRNA surveillance detects exported mRNAs with truncated open reading frames and initiates nonsense-mediated mRNA decay (NMD). When translation ends upstream from the last exon-exon junction, this triggers NMD to degrade mRNAs containing premature stop codons. This protein is located in the perinuclear area. It interacts with translation release factors and the proteins that are functional homologs of yeast Upf1p and Upf3p.",Multigenic CNV,"CNVs involving UPF2 were statistically enriched in a cohort of 57.356 patients with neurodevelopmental disorders compared to a cohort of 20,474 controls (deletions, P=0.034805; duplications, P=0.018903). A de novo 2.04 Mb deletion encompassing the UPF2 gene was detected in a female patient from the Developmental Gene Discovery Project (DGDP151) with autism spectrum disorder, intellectual disability, trichotillomania, aggressive behavior, and neuroregression (Nguyen et al., 2013).",8,0,,0,,23376982,,"26731442,31585809","25533962,27841880,30504930,31038196,31636381"
UPF3B,"UPF3B, regulator of nonsense mediated mRNA decay",65109,"HUPF3B, MRXS14, RENT3B, UPF3X",X,Xq24,Q9BZI7,300298,"This gene encodes a protein that is part of a post-splicing multiprotein complex involved in both mRNA nuclear export and mRNA surveillance. The encoded protein is one of two functional homologs to yeast Upf3p. mRNA surveillance detects exported mRNAs with truncated open reading frames and initiates nonsense-mediated mRNA decay (NMD). When translation ends upstream from the last exon-exon junction, this triggers NMD to degrade mRNAs containing premature stop codons. This protein binds to the mRNA and remains bound after nuclear export, acting as a nucleocytoplasmic shuttling protein. It forms with Y14 a complex that binds specifically 20 nt upstream of exon-exon junctions.",Syndromic,"Defects in UPF3B are the cause of a syndromic form of mental retardation, mental retardation syndromic X-linked type 14 (MRXS14) [MIM:300676]. A subset of individuals with MRXS14 are also either diagnosed with autism or are found to exhibit autistic features (Tarpey et al., 2007; Laumonnier et al., 2010; Addington et al., 2011; Lynch et al., 2012).",15,0,,0,,17704778,,"19238151,20479756,22609145,23821644,26012578","21862950,22957832,25363768,26544041,28263302,28708303,31737052,31906484,32667670"
USH2A,usherin,7399,"RP39, US2, USH2, dJ1111A8.1",1,1q41,O75445,608400,"This gene encodes a protein that contains laminin EGF motifs, a pentaxin domain, and many fibronectin type III motifs. The protein is found in the basement membrane, and may be important in development and homeostasis of the inner ear and retina. Mutations within this gene have been associated with Usher syndrome type IIa and retinitis pigmentosa.",Rare single gene variant,"Two de novo missense variants in the USH2A gene were identified in ASD probands from the Autism Sequencing Consortium (Neale et al., 2012) and the Simons Simplex Collection (Iossifov et al., 2014); one of these variants was later determined to be a postzygotic mosaic mutation (PZM) in Lim et al., 2017. A second non-synonymous PZM in this gene was identified in an ASD proband in Lim et al., 2017; comparison with a background set of 84,448 privately inherited variants demonstrated that this gene harbored more PZMs than expected based on background rates (/571 observed vs. /84,448 expected; hypergeometric P-value of 0.023).  Biallelic variants in the USH2A gene have also been identified in individuals diagnosed with ASD (Xiong et al., 2019; Doan et al., 2019).",6,0,,0,,22495311,,28714951,"25363768,31031587,31209396,31398340"
USP15,ubiquitin specific peptidase 15,9958,"UNPH-2, UNPH4",12,12q14.1,Q9Y4E8,604731,"This gene encodes a member of the ubiquitin specific protease (USP) family of deubiquitinating enzymes. USP enzymes play critical roles in ubiquitin-dependent processes through polyubiquitin chain disassembly and hydrolysis of ubiquitin-substrate bonds. The encoded protein associates with the COP9 signalosome, and also plays a role in transforming growth factor beta signalling through deubiquitination of receptor-activated SMAD transcription factors.",Rare single gene variant,"Two de novo loss-of-function variants in the USP15 gene have been identified in ASD probands from simplex families (a frameshift variant in a Simons Simplex Collection proband in O'Roak et al., 2012; and a splice-site variant in a proband from a cohort of 116 ASD parent-proband trios as part of the University of Illinois at Chicago ACE project in Chen et al., 2017).",3,0,,0,,22495309,,28344757,28867142
USP45,Ubiquitin specific peptidase 45,85015,,6,6q16.2,Q70EL2,,"The protein encoded by this gene acts catalyzes the thiol-dependent hydrolysis of ester, thioester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).",Rare single gene variant,"This gene was identified by TADA (transmission and de novo association) analysis of a combined dataset from the Simons Simplex Collection (SSC) and the Autism Sequencing Consortium (ASC) as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (Sanders et al., 2015); among the variants identified in this gene was one de novo loss-of-function (LoF) variant.",3,0,,0,,26402605,,,"25363768,31398340"
USP7,Ubiquitin specific peptidase 7 (herpes virus-associated),7874,"HAUSP, TEF1",16,16p13.2,Q93009,602519,"Hydrolase that deubiquitinates target proteins such as FOXO4, p53/TP53, MDM2, ERCC6, DNMT1, UHRF1, PTEN and DAXX. Together with DAXX, prevents MDM2 self-ubiquitination and enhances the E3 ligase activity of MDM2 towards p53/TP53, thereby promoting p53/TP53 ubiquitination and proteasomal degradation. Deubiquitinates p53/TP53 and MDM2 and strongly stabilizes p53/TP53 even in the presence of excess MDM2, and also induces p53/TP53-dependent cell growth repression and apoptosis. In association with DAXX, is involved in the deubiquitination and translocation of PTEN from the nucleus to the cytoplasm. Involved in cell proliferation during early embryonic development.",Rare single gene variant,"De novo variants (six multigenic deletions, one nonsense variant) affecting the USP7 gene were identified in seven patients presenting with developmental delay/intellectual disability, with five of these cases having an additional diagnosis of ASD (Hao et al., 2015). Subsequent statistical analysis determined that there was a strong correlation between the seven patients having both a de novo USP7 variant and the expressed phenotype that was likely not due to chance (p<0.0001).",7,0,,0,,26365382,,"26401017,30679821","25363760,25363768,27479843,28333917"
USP9X,ubiquitin specific peptidase 9 X-linked,8239,"DFFRX, FAF, FAM, MRX99, MRXS99F",X,Xp11.4,Q93008,300072,"This gene is a member of the peptidase C19 family and encodes a protein that is similar to ubiquitin-specific proteases. Though this gene is located on the X chromosome, it escapes X-inactivation.",Syndromic,"USP9X was initially associated with X-linked intellectual disability following the identification of pathogenic USP9X variants in five affected males from three families in Homan et al., 2014.  Phenotypic review of males with likely pathogenic variants in the USP9X gene (including affected individuals from Homan et al., 2014) identified a neurodevelopmental disorder characterized by developmental delay, delayed or absent speech, motor problems, brain malformations, behavioral problems (predominantly autistic and obsessive behaviors), visual system defects, growth retardation, joint hypermobility, and gastroenterological disturbances (Johnson et al., 2019).  De novo loss-of-function variants in USP9X were found to cause a female-specific syndrome characterized by developmental delay/intellectual disability, dysmorphic facial features, short stature, and distinct congenital malformations in Reijnders et al., 2016.",8,0,,0,,24607389,,"31443933,31813652","24690944,25763846,26833328,31666975,32277047"
USP9Y,"ubiquitin specific peptidase 9, Y-linked",8287,"DFFRY, SPGFY2",Y,Yq11.221,O00507,400005,"This gene is a member of the peptidase C19 family. It encodes a protein that is similar to ubiquitin-specific proteases, which cleave the ubiquitin moiety from ubiquitin-fused precursors and ubiquitinylated proteins.",Genetic Association,"Genetic association has been found between the USP9Y gene and autism in an ACC cohort (Wang et al., 2009).",2,0,,0,,19404256,,,28392909
UTRN,utrophin,7402,"RP11-352E13.1, DMDL, DRP, DRP1",6,6q24.2,P46939,128240,"This gene shares both structural and functional similarities with the dystrophin gene. The protein encoded by this gene is located at the neuromuscular synapse and myotendinous junctions, where it participates in post-synaptic membrane maintenance and acetylcholine receptor clustering.",Rare single gene variant,"This gene was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module. Sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism; this finding was further validated by exome sequencing of an independent cohort of 505 ASD cases and 491 controls (Li et al., 2014).",3,0,,0,,25549968,,,"31398340,31452935"
VAMP2,vesicle associated membrane protein 2,6844,"SYB2, VAMP-2",17,17p13.1,P63027,185881,"The protein encoded by this gene is a member of the vesicle-associated membrane protein (VAMP)/synaptobrevin family. Synaptobrevins/VAMPs, syntaxins, and the 25-kD synaptosomal-associated protein SNAP25 are the main components of a protein complex involved in the docking and/or fusion of synaptic vesicles with the presynaptic membrane. This gene is thought to participate in neurotransmitter release at a step between docking and fusion. The protein forms a stable complex with syntaxin, synaptosomal-associated protein, 25 kD, and synaptotagmin. It also forms a distinct complex with synaptophysin.",Rare single gene variant,"Salpietro et al., 2019 reported five unrelated individuals with de novo heterozygous variants in the VAMP2 gene presenting with a neurodevelopmental disorder characterized by axial hypotonia, intellectual disability, autistic features (with a diagnosis of ASD in two individuals), Rett syndrome-like features, EEG abnormalities with or without seizures, and delayed or absent speech.  A de novo missense variant in VAMP2 had previously been identified in an ASD proband from the Autism Sequencing Consortium (De Rubeis et al., 2014).",3,0,,0,,30929742,,,"25363760,32336483"
VASH1,vasohibin 1,22846,KIAA1036,14,14q24.3,Q7L8A9,609011,"This protein is an angiogenesis inhibitor. It inhibits migration, proliferation and network formation by endothelial cells as well as angiogenesis.",Genetic Association,"Genetic association has been found between the VASH1 gene and autism in two large cohorts (AGRE and ACC) of European ancestry and replicated in two other cohorts (CAP and CART) (Wang et al., 2009).",4,1,22935194,0,,19404256,,"19179360,19204325",
VDR,vitamin D receptor,7421,"NR1I1, PPP1R163",12,12q13.11,P11473,601769,"Nuclear receptor for calcitriol, the active form of vitamin D3 which mediates the action of this vitamin on cells. Enters the nucleus upon vitamin D3 binding where it forms heterodimers with the retinoid X receptor/RXR. The VDR-RXR heterodimers bind to specific response elements on DNA and activate the transcription of vitamin D3-responsive target genes. Recruited to promoters via its interaction with BAZ1B/WSTF which mediates the interaction with acetylated histones, an essential step for VDR-promoter association. Plays a central role in calcium homeostasis.",Genetic association,"Polymorphisms in the VDR gene have been shown to nominally associate with ASD in multiple populations (Schmidt et al., 2015; Coskun et al., 2016; Bojovic et al., 2017; Cieslinska et al., 2017; Zhang et al., 2018).  Serum levels of 25-hydroxyvitamin D were found to be significantly higher in ASD cases, and the FokI polymorphism was observed to have a significant effect on serum 25-hydroxyvitamin D levels in children with ASD, in Coskun et al., 2016.  Whole blood VDR gene expression was found to be significantly higher in a cohort of 30 age and gender matched patients diagnosed with ASD compared to a cohort of 30 healthy controls (p < 0.0001) (Balta et al., 2018).",10,7,"27155524,28738753,28891930,29581796,31589956,31900887,32083397",1,30466214,26073892,,,29777458
VEZF1,vascular endothelial zinc finger 1,7716,"DB1, ZNF161",17,17q22,Q14119,606747,Possible transcription factor. Specifically binds to the CT/GC-rich region of the interleukin-3 promoter and mediates tax transactivation of IL-3.,Rare single gene variant,"A de novo missense variant that was predicted to be damaging (defined as MPC  2) was identified in the VEZF1 gene in an ASD proband from the Autism Sequencing Consortium (De Rubeis et al., 2014), while three protein-truncating variants in this gene were observed in case samples from the Danish iPSYCH study (Satterstrom et al., 2020).   TADA analysis of de novo variants from the Simons Simplex Collection and the Autism Sequencing Consortium and protein-truncating variants from iPSYCH in Satterstrom et al., 2020 identified VEZF1 as a candidate gene with a false discovery rate (FDR) between  0.01 and 0.05 (0.01 < FDR  0.05).",2,0,,0,,25363760,,31981491,
VIL1,Villin 1,7429,"D2S1471, VIL",2,2q35,P09327,193040,"This gene encodes a member of a family of calcium-regulated actin-binding proteins. This protein represents a dominant part of the brush border cytoskeleton which functions in the capping, severing, and bundling of actin filaments.",Rare single gene variant,"This gene was identified in an ASD whole-exome sequencing study and subsequent TADA (transmission and de novo association) analysis as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (De Rubeis et al., 2014).",3,0,,0,,25363760,,,"31398340,31674007"
VIP,vasoactive intestinal peptide,7432,"RP4-546K19.1, PHM27",6,6q25.2,P01282,192320,"The protein encoded by this gene belongs to the glucagon family. It stimulates myocardial contractility, causes vasodilation, increases glycogenolysis, lowers arterial blood pressure and relaxes the smooth muscle of trachea, stomach and gall bladder.",Functional,"VIP antagonist treatment during mouse embryogenesis impairs social behavior and cognitive function of adult male offspring (Hill et al., 2007), and VIP-deficient mice exhibit select cognitive deficits (Chaudhury et al., 2008). A nonsense variant in VIP was identified in a male ASD proband and a younger male sibling exhibiting sub-clinical features of ASD (Jiang et al., 2013).",6,0,,0,,17521630,,23849776,"18316078,18423945,18616823,25533962"
VLDLR,Very low density lipoprotein receptor,7436,"CAMRQ1, CARMQ1, CHRMQ1CH,VLDLR",9,9p24.2,P98155,192977,"This gene encodes a lipoprotein receptor that is a member of the LDLR family, which consists of cell surface proteins involved in receptor-mediated endocytosis of specific ligand, and plays important roles in VLDL-triglyceride metabolism and the reelin signaling pathway. Mutations in this gene cause VLDLR-associated cerebellar hypoplasia (OMIM 224050).",Functional,"VLDLR mRNA levels were found to be significantly elevated in superior frontal and cerebellar areas of post-mortem brains from autistic patients versus control brains (Fatemi et al., 2005). Overexpression of VLDLR in rats resulted in hyperactivity and slight impairments in spatial working memory (Iwata et al., 2012).",3,0,,0,,15820235,,,"23110844,27184477"
VPS13B,vacuolar protein sorting 13 homolog B (yeast),157680,"CHS1, COH1, DKFZp313I0811, KIAA0532",8,8q22.2,Q7Z7G8,607817,"This gene encodes a potential transmembrane protein that may function in vesicle-mediated transport and sorting of proteins within the cell. This protein may play a role in the development and the function of the eye, hematological system, and central nervous system. Mutations in this gene have been associated with Cohen syndrome. Multiple splice variants encoding distinct isoforms have been identified for this gene.",Syndromic,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. In particular, rare mutations of the VPS13B gene have been identified with Cohen syndrome (Kolehmainen et al., 2003).",20,0,,0,,12730828,,"23352163,25492866,26938441","22542183,23033978,23275889,24066114,24410847,25502226,25533962,26104215,26539891,27435318,27457812,27667684,28831199,29271092,31130284,31398340"
VRK3,vaccinia related kinase 3,51231,,19,19q13.33,Q8IV63,,"This gene encodes a member of the vaccinia-related kinase (VRK) family of serine/threonine protein kinases. In both human and mouse, this gene has substitutions at several residues within the ATP binding motifs that in other kinases have been shown to be required for catalysis. In vitro assays indicate the protein lacks phosphorylation activity. The protein, however, likely retains its substrate binding capability. This gene is widely expressed in human tissues and its protein localizes to the nucleus. Inactive kinase that suppresses ERK activity by promoting phosphatase activity of DUSP3 which specifically dephosphorylates and inactivates ERK in the nucleus.",Functional,"Kang et al., 2017 demonstrated that VRK3-deficient mice exhibited hyperactivity, stereotyped behaviors, reduced social interaction, impaired context-dependent spatial memory, reduced dendritic spine number and arborization in the CA1 region of the hippocampus, and altered synaptic transmission; these phenotypes could be reversed by TrkB stimulation with 7,8-dihydroxyflavone.",1,0,,0,,28899869,,,
VSIG4,V-set and immunoglobulin domain containing 4,11326,"CRIg, Z39IG",X,Xq12,Q9Y279,300353,This gene encodes a v-set and immunoglobulin-domain containing protein that is structurally related to the B7 family of immune regulatory proteins. The encoded protein may be a negative regulator of T-cell responses.,Rare single gene variant,"A maternally-inherited nonsense variant in the VSIG4 gene was identified in a pair of affected monozygotic twins from a multiplex ASD family; this variant was not observed in an unaffected male sibling (Lim et al., 2013). A de novo splice-site variant in this gene has also been observed in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014).",2,0,,0,,23352160,,,25363768
VWA7,von Willebrand factor A domain containing 7,80737,"C6orf27, G7c, NG37",6,6p21.33,Q9Y334,609693,Found in the major hispocompatibility complex class III region. May be implicated in susceptibility to lung tumors.,Rare single gene variant,"Integration of familial whole-exome datasets of 3,531 individuals from 1,704 simplex ASD families and 50 multiplex ASD families and expression data from the BrainSpan Atlas of the Developmental Human Brain in Luo et al., 2020 identified a neurodevelopmentally co-regulated, sex-differentially expressed cluster of exons enriched with ASD-segregating deleterious variants in the VWA7 gene (Bonferroni-corrected cluster P-value of 3.44E-04).",1,0,,0,,32778826,,,
