"gene"	"pLI"	"intolerant"	"interaction_type"	"snp"	"log2_aFC"
"OBP2B"	1.3223e-05	"Tolerant"	"non-eQTL"	NA	NA
"SLC10A6"	4.5131e-09	"Tolerant"	"non-eQTL"	NA	NA
"GNAT1"	9.8532e-13	"Tolerant"	"non-eQTL"	NA	NA
"S100A7"	0.45274	"Tolerant"	"non-eQTL"	NA	NA
"PDRG1"	0.00025916	"Tolerant"	"non-eQTL"	NA	NA
"CALML4"	5.9205e-05	"Tolerant"	"non-eQTL"	NA	NA
"TES"	1.0234e-15	"Tolerant"	"non-eQTL"	NA	NA
"SAT2"	2.7832e-06	"Tolerant"	"non-eQTL"	NA	NA
"C14orf159"	1.6561e-22	"Tolerant"	"non-eQTL"	NA	NA
"IFIH1"	6.9819e-44	"Tolerant"	"non-eQTL"	NA	NA
"MTHFS"	0.00025842	"Tolerant"	"non-eQTL"	NA	NA
"MOGAT1"	1.566e-10	"Tolerant"	"non-eQTL"	NA	NA
"AC005003.1"	0.45208	"Tolerant"	"non-eQTL"	NA	NA
"FIS1"	1.302e-05	"Tolerant"	"non-eQTL"	NA	NA
"BAALC"	0.0044356	"Tolerant"	"non-eQTL"	NA	NA
"TPRX2P"	0.063016	"Tolerant"	"non-eQTL"	NA	NA
"ABCG2"	2.0957e-32	"Tolerant"	"non-eQTL"	NA	NA
"OR52E6"	0.19683	"Tolerant"	"non-eQTL"	NA	NA
"ARSF"	3.1126e-14	"Tolerant"	"non-eQTL"	NA	NA
"ISOC2"	1.297e-05	"Tolerant"	"non-eQTL"	NA	NA
"MEF2BNB"	0.00025761	"Tolerant"	"non-eQTL"	NA	NA
"UCP2"	1.5497e-10	"Tolerant"	"non-eQTL"	NA	NA
"THTPA"	2.7667e-06	"Tolerant"	"non-eQTL"	NA	NA
"IRAK3"	5.3092e-21	"Tolerant"	"non-eQTL"	NA	NA
"RASSF4"	1.7281e-13	"Tolerant"	"non-eQTL"	NA	NA
"GTPBP6"	1.1591e-07	"Tolerant"	"non-eQTL"	NA	NA
"CASP5"	1.752e-16	"Tolerant"	"non-eQTL"	NA	NA
"BET1L"	0.0044178	"Tolerant"	"non-eQTL"	NA	NA
"ATP5L"	0.0044259	"Tolerant"	"non-eQTL"	NA	NA
"C20orf62"	0.45157	"Tolerant"	"non-eQTL"	NA	NA
"DNAJC5G"	5.8532e-05	"Tolerant"	"non-eQTL"	NA	NA
"TMEM141"	0.0010816	"Tolerant"	"non-eQTL"	NA	NA
"C18orf21"	5.6865e-07	"Tolerant"	"non-eQTL"	NA	NA
"ZNF470"	1.676e-19	"Tolerant"	"non-eQTL"	NA	NA
"ROPN1L"	2.7455e-06	"Tolerant"	"non-eQTL"	NA	NA
"TMEM95"	2.2408e-08	"Tolerant"	"non-eQTL"	NA	NA
"SNX20"	1.2791e-05	"Tolerant"	"non-eQTL"	NA	NA
"C12orf54"	1.1347e-07	"Tolerant"	"non-eQTL"	NA	NA
"NRIP3"	2.219e-08	"Tolerant"	"non-eQTL"	NA	NA
"C14orf180"	0.0043821	"Tolerant"	"non-eQTL"	NA	NA
"BHLHE23"	0.19596	"Tolerant"	"non-eQTL"	NA	NA
"C1orf158"	0.00025309	"Tolerant"	"non-eQTL"	NA	NA
"CAMP"	0.0043897	"Tolerant"	"non-eQTL"	NA	NA
"PLP2"	0.0043931	"Tolerant"	"non-eQTL"	NA	NA
"OASL"	2.7573e-11	"Tolerant"	"non-eQTL"	NA	NA
"HOXC5"	5.7754e-05	"Tolerant"	"non-eQTL"	NA	NA
"FITM2"	2.7203e-06	"Tolerant"	"non-eQTL"	NA	NA
"LRIT2"	4.2214e-09	"Tolerant"	"non-eQTL"	NA	NA
"RAB25"	1.1227e-07	"Tolerant"	"non-eQTL"	NA	NA
"TIMM13"	0.062511	"Tolerant"	"non-eQTL"	NA	NA
"SPATA3"	0.0010708	"Tolerant"	"non-eQTL"	NA	NA
"OR1K1"	0.0010697	"Tolerant"	"non-eQTL"	NA	NA
"GOLGA8G"	0.19562	"Tolerant"	"non-eQTL"	NA	NA
"PPP1R14B"	0.0043794	"Tolerant"	"non-eQTL"	NA	NA
"NINJ2"	0.0010696	"Tolerant"	"non-eQTL"	NA	NA
"TEKT4"	5.2301e-15	"Tolerant"	"non-eQTL"	NA	NA
"APOL4"	0.0010662	"Tolerant"	"non-eQTL"	NA	NA
"ZNF267"	0.017108	"Tolerant"	"non-eQTL"	NA	NA
"C1orf95"	0.0043627	"Tolerant"	"non-eQTL"	NA	NA
"MIXL1"	0.017075	"Tolerant"	"non-eQTL"	NA	NA
"CIB4"	1.115e-07	"Tolerant"	"non-eQTL"	NA	NA
"CXCR6"	5.7212e-05	"Tolerant"	"non-eQTL"	NA	NA
"TMEM52B"	0.0010679	"Tolerant"	"non-eQTL"	NA	NA
"AL589765.1"	0.062308	"Tolerant"	"non-eQTL"	NA	NA
"WFDC13"	0.017094	"Tolerant"	"non-eQTL"	NA	NA
"KLF16"	0.19517	"Tolerant"	"non-eQTL"	NA	NA
"UCN"	0.44958	"Tolerant"	"non-eQTL"	NA	NA
"HRASLS"	0.00025029	"Tolerant"	"non-eQTL"	NA	NA
"TXNL4B"	0.0043549	"Tolerant"	"non-eQTL"	NA	NA
"RMDN2"	4.4061e-24	"Tolerant"	"non-eQTL"	NA	NA
"PLN"	0.44947	"Tolerant"	"non-eQTL"	NA	NA
"LGSN"	1.594e-13	"Tolerant"	"non-eQTL"	NA	NA
"ZNF277"	8.3182e-22	"Tolerant"	"non-eQTL"	NA	NA
"BCAS4"	5.6789e-05	"Tolerant"	"non-eQTL"	NA	NA
"TNFRSF10A"	5.0697e-15	"Tolerant"	"non-eQTL"	NA	NA
"GPR132"	0.016959	"Tolerant"	"non-eQTL"	NA	NA
"CCDC160"	0.016983	"Tolerant"	"non-eQTL"	NA	NA
"OR8G5"	0.016988	"Tolerant"	"non-eQTL"	NA	NA
"TMEM25"	2.6304e-11	"Tolerant"	"non-eQTL"	NA	NA
"MFNG"	7.6611e-10	"Tolerant"	"non-eQTL"	NA	NA
"XKR9"	4.0628e-09	"Tolerant"	"non-eQTL"	NA	NA
"RP11-934B9.3"	0.00024785	"Tolerant"	"non-eQTL"	NA	NA
"ARHGAP11B"	2.6229e-06	"Tolerant"	"non-eQTL"	NA	NA
"C14orf183"	5.4107e-07	"Tolerant"	"non-eQTL"	NA	NA
"EMP3"	2.6151e-06	"Tolerant"	"non-eQTL"	NA	NA
"C19orf81"	1.233e-05	"Tolerant"	"non-eQTL"	NA	NA
"PPP1R17"	0.0010488	"Tolerant"	"non-eQTL"	NA	NA
"OR10G8"	0.016898	"Tolerant"	"non-eQTL"	NA	NA
"UBB"	0.016904	"Tolerant"	"non-eQTL"	NA	NA
"TOMM6"	0.19403	"Tolerant"	"non-eQTL"	NA	NA
"RPL22L1"	0.0010477	"Tolerant"	"non-eQTL"	NA	NA
"TRMU"	1.5307e-16	"Tolerant"	"non-eQTL"	NA	NA
"GNGT2"	0.19392	"Tolerant"	"non-eQTL"	NA	NA
"RNF148"	2.5966e-06	"Tolerant"	"non-eQTL"	NA	NA
"GJA9"	4.6528e-12	"Tolerant"	"non-eQTL"	NA	NA
"SIGLEC11"	7.8092e-22	"Tolerant"	"non-eQTL"	NA	NA
"KRT82"	4.6454e-18	"Tolerant"	"non-eQTL"	NA	NA
"GPX6"	2.582e-06	"Tolerant"	"non-eQTL"	NA	NA
"ADH5"	2.5356e-11	"Tolerant"	"non-eQTL"	NA	NA
"FAM194A"	1.823e-29	"Tolerant"	"non-eQTL"	NA	NA
"SLFN11"	8.2249e-19	"Tolerant"	"non-eQTL"	NA	NA
"OR11H6"	0.0010427	"Tolerant"	"non-eQTL"	NA	NA
"AGAP6"	2.5867e-06	"Tolerant"	"non-eQTL"	NA	NA
"TPGS1"	0.061557	"Tolerant"	"non-eQTL"	NA	NA
"MSRB2"	5.5352e-05	"Tolerant"	"non-eQTL"	NA	NA
"TSGA13"	7.3935e-10	"Tolerant"	"non-eQTL"	NA	NA
"TAS1R3"	6.7868e-25	"Tolerant"	"non-eQTL"	NA	NA
"MRPS21"	0.061313	"Tolerant"	"non-eQTL"	NA	NA
"NME4"	0.0010351	"Tolerant"	"non-eQTL"	NA	NA
"MZT2B"	0.061273	"Tolerant"	"non-eQTL"	NA	NA
"TUBA3D"	7.2364e-10	"Tolerant"	"non-eQTL"	NA	NA
"TRIM58"	1.345e-10	"Tolerant"	"non-eQTL"	NA	NA
"LRIT1"	4.5907e-15	"Tolerant"	"non-eQTL"	NA	NA
"TCTEX1D1"	5.4692e-05	"Tolerant"	"non-eQTL"	NA	NA
"AC073343.1"	3.8385e-09	"Tolerant"	"non-eQTL"	NA	NA
"TMCO2"	5.4723e-05	"Tolerant"	"non-eQTL"	NA	NA
"NRSN2"	0.0042391	"Tolerant"	"non-eQTL"	NA	NA
"KLK14"	1.9965e-08	"Tolerant"	"non-eQTL"	NA	NA
"SWSAP1"	0.0042206	"Tolerant"	"non-eQTL"	NA	NA
"ZSCAN32"	2.4299e-11	"Tolerant"	"non-eQTL"	NA	NA
"ST8SIA6"	7.1568e-10	"Tolerant"	"non-eQTL"	NA	NA
"ZNF799"	0.016646	"Tolerant"	"non-eQTL"	NA	NA
"FAM127B"	0.44642	"Tolerant"	"non-eQTL"	NA	NA
"STOML1"	2.4189e-11	"Tolerant"	"non-eQTL"	NA	NA
"TMEM239"	0.0010286	"Tolerant"	"non-eQTL"	NA	NA
"VNN2"	4.448e-15	"Tolerant"	"non-eQTL"	NA	NA
"IRF7"	4.4508e-15	"Tolerant"	"non-eQTL"	NA	NA
"CD300LD"	1.1813e-05	"Tolerant"	"non-eQTL"	NA	NA
"GYG2"	7.0587e-10	"Tolerant"	"non-eQTL"	NA	NA
"KCNJ14"	2.4991e-06	"Tolerant"	"non-eQTL"	NA	NA
"HLA-DPA1"	2.5e-06	"Tolerant"	"non-eQTL"	NA	NA
"ADAM18"	6.8847e-35	"Tolerant"	"non-eQTL"	NA	NA
"EPGN"	0.00023928	"Tolerant"	"non-eQTL"	NA	NA
"AQP2"	2.4855e-06	"Tolerant"	"non-eQTL"	NA	NA
"GRXCR2"	1.0145e-07	"Tolerant"	"non-eQTL"	NA	NA
"PBLD"	2.3448e-11	"Tolerant"	"non-eQTL"	NA	NA
"NPPC"	0.060647	"Tolerant"	"non-eQTL"	NA	NA
"SMIM13"	0.19183	"Tolerant"	"non-eQTL"	NA	NA
"PLA2G5"	5.3834e-05	"Tolerant"	"non-eQTL"	NA	NA
"POMK"	1.9487e-08	"Tolerant"	"non-eQTL"	NA	NA
"ADAT2"	1.007e-07	"Tolerant"	"non-eQTL"	NA	NA
"ACTL7B"	2.4547e-06	"Tolerant"	"non-eQTL"	NA	NA
"NKX6-3"	0.016469	"Tolerant"	"non-eQTL"	NA	NA
"CLEC4D"	2.4548e-06	"Tolerant"	"non-eQTL"	NA	NA
"GOLGA8Q"	0.0010139	"Tolerant"	"non-eQTL"	NA	NA
"BBIP1"	0.004174	"Tolerant"	"non-eQTL"	NA	NA
"CD300C"	1.164e-05	"Tolerant"	"non-eQTL"	NA	NA
"EREG"	1.1659e-05	"Tolerant"	"non-eQTL"	NA	NA
"CYB5R2"	6.8195e-10	"Tolerant"	"non-eQTL"	NA	NA
"C17orf58"	0.19122	"Tolerant"	"non-eQTL"	NA	NA
"PROKR2"	2.4388e-06	"Tolerant"	"non-eQTL"	NA	NA
"FTSJ2"	0.00023612	"Tolerant"	"non-eQTL"	NA	NA
"CYP11B2"	7.1321e-19	"Tolerant"	"non-eQTL"	NA	NA
"HENMT1"	6.8224e-10	"Tolerant"	"non-eQTL"	NA	NA
"PCDHA4"	1.9754e-23	"Tolerant"	"non-eQTL"	NA	NA
"N6AMT2"	2.4358e-06	"Tolerant"	"non-eQTL"	NA	NA
"OR5AP2"	0.0041572	"Tolerant"	"non-eQTL"	NA	NA
"TEX9"	6.4247e-22	"Tolerant"	"non-eQTL"	NA	NA
"RAMP3"	0.016373	"Tolerant"	"non-eQTL"	NA	NA
"C10orf35"	0.016385	"Tolerant"	"non-eQTL"	NA	NA
"HIGD2A"	0.19087	"Tolerant"	"non-eQTL"	NA	NA
"OR2A25"	0.0010007	"Tolerant"	"non-eQTL"	NA	NA
"OR52A1"	0.0041328	"Tolerant"	"non-eQTL"	NA	NA
"FDFT1"	4.0998e-15	"Tolerant"	"non-eQTL"	NA	NA
"C5orf60"	4.89e-07	"Tolerant"	"non-eQTL"	NA	NA
"FAM180A"	0.0010025	"Tolerant"	"non-eQTL"	NA	NA
"UBL5"	0.016321	"Tolerant"	"non-eQTL"	NA	NA
"CD164L2"	1.1451e-05	"Tolerant"	"non-eQTL"	NA	NA
"TAF8"	7.3155e-13	"Tolerant"	"non-eQTL"	NA	NA
"B9D2"	5.2557e-05	"Tolerant"	"non-eQTL"	NA	NA
"RASSF7"	2.252e-11	"Tolerant"	"non-eQTL"	NA	NA
"HSPB7"	0.016292	"Tolerant"	"non-eQTL"	NA	NA
"RP1-139D8.6"	0.060033	"Tolerant"	"non-eQTL"	NA	NA
"TMEM215"	0.0041235	"Tolerant"	"non-eQTL"	NA	NA
"CASQ1"	3.857e-18	"Tolerant"	"non-eQTL"	NA	NA
"ASIP"	0.016298	"Tolerant"	"non-eQTL"	NA	NA
"CEACAM19"	6.6095e-10	"Tolerant"	"non-eQTL"	NA	NA
"AKIP1"	1.1363e-05	"Tolerant"	"non-eQTL"	NA	NA
"C7orf57"	4.0355e-12	"Tolerant"	"non-eQTL"	NA	NA
"OR2AG2"	0.016296	"Tolerant"	"non-eQTL"	NA	NA
"PPP1R14D"	2.3903e-06	"Tolerant"	"non-eQTL"	NA	NA
"ZNF544"	0.00099546	"Tolerant"	"non-eQTL"	NA	NA
"IQCE"	1.3752e-39	"Tolerant"	"non-eQTL"	NA	NA
"C1orf110"	0.0041139	"Tolerant"	"non-eQTL"	NA	NA
"MLN"	0.0041058	"Tolerant"	"non-eQTL"	NA	NA
"THUMPD1"	3.9721e-12	"Tolerant"	"non-eQTL"	NA	NA
"CTC-260F20.3"	9.5774e-08	"Tolerant"	"non-eQTL"	NA	NA
"C1orf54"	0.0002318	"Tolerant"	"non-eQTL"	NA	NA
"SYNGR2"	5.1893e-05	"Tolerant"	"non-eQTL"	NA	NA
"FAM71E1"	0.0002311	"Tolerant"	"non-eQTL"	NA	NA
"ZNF492"	0.18998	"Tolerant"	"non-eQTL"	NA	NA
"TMEM186"	5.1994e-05	"Tolerant"	"non-eQTL"	NA	NA
"ZNHIT1"	2.3592e-06	"Tolerant"	"non-eQTL"	NA	NA
"CES5A"	7.9418e-29	"Tolerant"	"non-eQTL"	NA	NA
"C3orf80"	0.18963	"Tolerant"	"non-eQTL"	NA	NA
"CLDN8"	0.016193	"Tolerant"	"non-eQTL"	NA	NA
"S100A7L2"	0.1895	"Tolerant"	"non-eQTL"	NA	NA
"MSMB"	0.016199	"Tolerant"	"non-eQTL"	NA	NA
"CTD-3214H19.16"	0.00098749	"Tolerant"	"non-eQTL"	NA	NA
"AUNIP"	3.4534e-09	"Tolerant"	"non-eQTL"	NA	NA
"CSRP2"	4.769e-07	"Tolerant"	"non-eQTL"	NA	NA
"SLC22A25"	1.2149e-16	"Tolerant"	"non-eQTL"	NA	NA
"RPL26L1"	0.00098764	"Tolerant"	"non-eQTL"	NA	NA
"C12orf56"	6.8904e-16	"Tolerant"	"non-eQTL"	NA	NA
"AC002310.13"	0.18963	"Tolerant"	"non-eQTL"	NA	NA
"OR3A2"	0.00022954	"Tolerant"	"non-eQTL"	NA	NA
"LYZL6"	0.00098373	"Tolerant"	"non-eQTL"	NA	NA
"IL15RA"	2.332e-06	"Tolerant"	"non-eQTL"	NA	NA
"AC021218.2"	0.059572	"Tolerant"	"non-eQTL"	NA	NA
"AL354898.1"	2.3398e-06	"Tolerant"	"non-eQTL"	NA	NA
"NXPE4"	6.8642e-16	"Tolerant"	"non-eQTL"	NA	NA
"SRRD"	1.8029e-08	"Tolerant"	"non-eQTL"	NA	NA
"DNMT3A"	7.3538e-39	"Tolerant"	"non-eQTL"	NA	NA
"GABARAPL2"	0.00022815	"Tolerant"	"non-eQTL"	NA	NA
"AL441883.1"	0.059485	"Tolerant"	"non-eQTL"	NA	NA
"DPPA5"	0.0040632	"Tolerant"	"non-eQTL"	NA	NA
"COQ4"	3.3961e-09	"Tolerant"	"non-eQTL"	NA	NA
"OR2L13"	0.00098315	"Tolerant"	"non-eQTL"	NA	NA
"NDUFAF7"	1.0818e-19	"Tolerant"	"non-eQTL"	NA	NA
"ABHD12B"	3.7965e-15	"Tolerant"	"non-eQTL"	NA	NA
"AGR2"	9.2381e-08	"Tolerant"	"non-eQTL"	NA	NA
"C2orf70"	5.0939e-05	"Tolerant"	"non-eQTL"	NA	NA
"CRIPT"	0.00097752	"Tolerant"	"non-eQTL"	NA	NA
"CHMP4A"	3.3901e-09	"Tolerant"	"non-eQTL"	NA	NA
"COX6A2"	0.18881	"Tolerant"	"non-eQTL"	NA	NA
"CYP2A7"	3.7792e-15	"Tolerant"	"non-eQTL"	NA	NA
"DNAJC5B"	2.2936e-06	"Tolerant"	"non-eQTL"	NA	NA
"SMPD2"	3.5507e-18	"Tolerant"	"non-eQTL"	NA	NA
"PRCD"	0.016018	"Tolerant"	"non-eQTL"	NA	NA
"C1orf105"	1.1007e-05	"Tolerant"	"non-eQTL"	NA	NA
"KRT74"	2.1183e-14	"Tolerant"	"non-eQTL"	NA	NA
"TSLP"	0.0040357	"Tolerant"	"non-eQTL"	NA	NA
"DHRS4L2"	4.6376e-07	"Tolerant"	"non-eQTL"	NA	NA
"TOMM20L"	5.0571e-05	"Tolerant"	"non-eQTL"	NA	NA
"CLDN6"	0.0040357	"Tolerant"	"non-eQTL"	NA	NA
"PTGER1"	0.00097345	"Tolerant"	"non-eQTL"	NA	NA
"TATDN1"	6.4923e-16	"Tolerant"	"non-eQTL"	NA	NA
"YIF1A"	6.1818e-10	"Tolerant"	"non-eQTL"	NA	NA
"FMO3"	6.5145e-16	"Tolerant"	"non-eQTL"	NA	NA
"GNG5"	0.18814	"Tolerant"	"non-eQTL"	NA	NA
"TMIGD2"	1.0895e-05	"Tolerant"	"non-eQTL"	NA	NA
"KLF14"	0.01598	"Tolerant"	"non-eQTL"	NA	NA
"PGBD2"	6.4382e-16	"Tolerant"	"non-eQTL"	NA	NA
"GPR84"	3.2998e-09	"Tolerant"	"non-eQTL"	NA	NA
"SULT1A2"	3.6786e-12	"Tolerant"	"non-eQTL"	NA	NA
"C3AR1"	3.3053e-09	"Tolerant"	"non-eQTL"	NA	NA
"WFDC3"	9.0781e-08	"Tolerant"	"non-eQTL"	NA	NA
"OR2B11"	0.00022477	"Tolerant"	"non-eQTL"	NA	NA
"SCNN1D"	1.6507e-33	"Tolerant"	"non-eQTL"	NA	NA
"LGALS12"	6.5191e-13	"Tolerant"	"non-eQTL"	NA	NA
"AKR7L"	0.0002237	"Tolerant"	"non-eQTL"	NA	NA
"OR5B17"	0.44075	"Tolerant"	"non-eQTL"	NA	NA
"TFF3"	0.01591	"Tolerant"	"non-eQTL"	NA	NA
"HMX2"	4.9891e-05	"Tolerant"	"non-eQTL"	NA	NA
"ASB16"	1.0959e-16	"Tolerant"	"non-eQTL"	NA	NA
"PIFO"	8.9379e-08	"Tolerant"	"non-eQTL"	NA	NA
"SIAH3"	0.0009634	"Tolerant"	"non-eQTL"	NA	NA
"C21orf67"	0.058694	"Tolerant"	"non-eQTL"	NA	NA
"VIT"	5.435e-32	"Tolerant"	"non-eQTL"	NA	NA
"AKR1C1"	3.524e-15	"Tolerant"	"non-eQTL"	NA	NA
"FLYWCH2"	0.18732	"Tolerant"	"non-eQTL"	NA	NA
"OXGR1"	4.9619e-05	"Tolerant"	"non-eQTL"	NA	NA
"OR4D9"	0.00096084	"Tolerant"	"non-eQTL"	NA	NA
"TTC36"	0.00022268	"Tolerant"	"non-eQTL"	NA	NA
"UTS2B"	0.00022271	"Tolerant"	"non-eQTL"	NA	NA
"BBC3"	0.0039762	"Tolerant"	"non-eQTL"	NA	NA
"RAB26"	1.6979e-08	"Tolerant"	"non-eQTL"	NA	NA
"WDR38"	1.975e-11	"Tolerant"	"non-eQTL"	NA	NA
"SSTR5"	0.00095544	"Tolerant"	"non-eQTL"	NA	NA
"HIST2H2AC"	0.18727	"Tolerant"	"non-eQTL"	NA	NA
"INSL3"	0.015764	"Tolerant"	"non-eQTL"	NA	NA
"APOBEC1"	1.6791e-08	"Tolerant"	"non-eQTL"	NA	NA
"OR2T35"	0.18682	"Tolerant"	"non-eQTL"	NA	NA
"GBGT1"	1.0776e-10	"Tolerant"	"non-eQTL"	NA	NA
"RBP5"	4.9181e-05	"Tolerant"	"non-eQTL"	NA	NA
"GIPC2"	3.1514e-09	"Tolerant"	"non-eQTL"	NA	NA
"MEA1"	1.0536e-05	"Tolerant"	"non-eQTL"	NA	NA
"OR52B6"	0.0039544	"Tolerant"	"non-eQTL"	NA	NA
"UGT2B11"	5.98e-16	"Tolerant"	"non-eQTL"	NA	NA
"FIBCD1"	1.9395e-14	"Tolerant"	"non-eQTL"	NA	NA
"PCDHB11"	5.8173e-10	"Tolerant"	"non-eQTL"	NA	NA
"RPP21"	4.8992e-05	"Tolerant"	"non-eQTL"	NA	NA
"OR6Y1"	0.00095201	"Tolerant"	"non-eQTL"	NA	NA
"MRPS16"	0.058297	"Tolerant"	"non-eQTL"	NA	NA
"OR10W1"	0.01572	"Tolerant"	"non-eQTL"	NA	NA
"MRRF"	4.4057e-07	"Tolerant"	"non-eQTL"	NA	NA
"SLC18A1"	2.8012e-21	"Tolerant"	"non-eQTL"	NA	NA
"CD14"	4.8813e-05	"Tolerant"	"non-eQTL"	NA	NA
"SLC36A4"	1.8141e-17	"Tolerant"	"non-eQTL"	NA	NA
"TMEM187"	0.015717	"Tolerant"	"non-eQTL"	NA	NA
"GLIPR2"	4.8573e-05	"Tolerant"	"non-eQTL"	NA	NA
"GLOD4"	6.0698e-13	"Tolerant"	"non-eQTL"	NA	NA
"C3orf70"	4.8695e-05	"Tolerant"	"non-eQTL"	NA	NA
"C4orf45"	4.3689e-07	"Tolerant"	"non-eQTL"	NA	NA
"HIST1H1E"	0.18608	"Tolerant"	"non-eQTL"	NA	NA
"SEMG2"	0.058203	"Tolerant"	"non-eQTL"	NA	NA
"RSPO4"	8.5962e-08	"Tolerant"	"non-eQTL"	NA	NA
"RDH16"	4.3901e-07	"Tolerant"	"non-eQTL"	NA	NA
"ZSCAN1"	4.3802e-07	"Tolerant"	"non-eQTL"	NA	NA
"RHBG"	1.0751e-13	"Tolerant"	"non-eQTL"	NA	NA
"RP5-850E9.3"	0.43802	"Tolerant"	"non-eQTL"	NA	NA
"KLK10"	4.3662e-07	"Tolerant"	"non-eQTL"	NA	NA
"FAM198A"	5.7508e-16	"Tolerant"	"non-eQTL"	NA	NA
"OR4K14"	0.00094256	"Tolerant"	"non-eQTL"	NA	NA
"SPP1"	2.146e-06	"Tolerant"	"non-eQTL"	NA	NA
"C19orf18"	4.3311e-07	"Tolerant"	"non-eQTL"	NA	NA
"NTHL1"	5.6607e-10	"Tolerant"	"non-eQTL"	NA	NA
"OR4D10"	0.0039123	"Tolerant"	"non-eQTL"	NA	NA
"PRDX6"	4.8237e-05	"Tolerant"	"non-eQTL"	NA	NA
"CLPSL2"	0.1858	"Tolerant"	"non-eQTL"	NA	NA
"TMEM242"	4.8272e-05	"Tolerant"	"non-eQTL"	NA	NA
"SPINK9"	0.015591	"Tolerant"	"non-eQTL"	NA	NA
"ENTPD3"	2.6387e-21	"Tolerant"	"non-eQTL"	NA	NA
"APOA5"	5.5765e-10	"Tolerant"	"non-eQTL"	NA	NA
"CST3"	0.0039011	"Tolerant"	"non-eQTL"	NA	NA
"CALCA"	0.015562	"Tolerant"	"non-eQTL"	NA	NA
"KRTAP1-5"	0.0039059	"Tolerant"	"non-eQTL"	NA	NA
"ZNF660"	4.3113e-07	"Tolerant"	"non-eQTL"	NA	NA
"RAB20"	0.0038974	"Tolerant"	"non-eQTL"	NA	NA
"SLC35D2"	5.8967e-13	"Tolerant"	"non-eQTL"	NA	NA
"BIN3"	5.8224e-13	"Tolerant"	"non-eQTL"	NA	NA
"ZSCAN5C"	2.1218e-06	"Tolerant"	"non-eQTL"	NA	NA
"PPBP"	0.057739	"Tolerant"	"non-eQTL"	NA	NA
"PLIN4"	5.578e-16	"Tolerant"	"non-eQTL"	NA	NA
"TEX36"	0.00021489	"Tolerant"	"non-eQTL"	NA	NA
"MAFF"	0.015514	"Tolerant"	"non-eQTL"	NA	NA
"ZBP1"	1.8259e-14	"Tolerant"	"non-eQTL"	NA	NA
"MAP3K7CL"	8.3352e-08	"Tolerant"	"non-eQTL"	NA	NA
"GTF2H2"	0.015519	"Tolerant"	"non-eQTL"	NA	NA
"MUC12"	1.2792e-68	"Tolerant"	"non-eQTL"	NA	NA
"IFT43"	1.8153e-11	"Tolerant"	"non-eQTL"	NA	NA
"DARC"	0.00021424	"Tolerant"	"non-eQTL"	NA	NA
"CKMT1A"	4.2467e-07	"Tolerant"	"non-eQTL"	NA	NA
"SS18L2"	0.01548	"Tolerant"	"non-eQTL"	NA	NA
"KLHDC7A"	4.9895e-19	"Tolerant"	"non-eQTL"	NA	NA
"TM4SF18"	2.1148e-06	"Tolerant"	"non-eQTL"	NA	NA
"RDM1"	1.5827e-08	"Tolerant"	"non-eQTL"	NA	NA
"AP3S1"	1.0159e-05	"Tolerant"	"non-eQTL"	NA	NA
"ANXA8L2"	0.00092573	"Tolerant"	"non-eQTL"	NA	NA
"HPR"	5.4618e-10	"Tolerant"	"non-eQTL"	NA	NA
"OR1D2"	0.00092513	"Tolerant"	"non-eQTL"	NA	NA
"RP11-20I23.1"	8.1938e-08	"Tolerant"	"non-eQTL"	NA	NA
"HLA-DQA2"	1.0089e-05	"Tolerant"	"non-eQTL"	NA	NA
"OR1C1"	0.057434	"Tolerant"	"non-eQTL"	NA	NA
"GTF3A"	1.7789e-11	"Tolerant"	"non-eQTL"	NA	NA
"DLEU7"	0.18452	"Tolerant"	"non-eQTL"	NA	NA
"OR2A42"	0.057427	"Tolerant"	"non-eQTL"	NA	NA
"WBP2NL"	8.182e-08	"Tolerant"	"non-eQTL"	NA	NA
"IL25"	0.00092347	"Tolerant"	"non-eQTL"	NA	NA
"PPIB"	4.7242e-05	"Tolerant"	"non-eQTL"	NA	NA
"SMKR1"	0.43635	"Tolerant"	"non-eQTL"	NA	NA
"SCGB1D4"	0.057471	"Tolerant"	"non-eQTL"	NA	NA
"KRTAP11-1"	0.0038454	"Tolerant"	"non-eQTL"	NA	NA
"OR4D2"	0.0009188	"Tolerant"	"non-eQTL"	NA	NA
"NDUFAF2"	2.078e-06	"Tolerant"	"non-eQTL"	NA	NA
"EIF5A2"	0.00021146	"Tolerant"	"non-eQTL"	NA	NA
"RGS16"	1.0062e-05	"Tolerant"	"non-eQTL"	NA	NA
"OR6K6"	0.00091859	"Tolerant"	"non-eQTL"	NA	NA
"HLA-DPB1"	5.3254e-10	"Tolerant"	"non-eQTL"	NA	NA
"POP5"	4.142e-07	"Tolerant"	"non-eQTL"	NA	NA
"KCNMB1"	2.0696e-06	"Tolerant"	"non-eQTL"	NA	NA
"GLYCTK"	9.6521e-11	"Tolerant"	"non-eQTL"	NA	NA
"BET1"	0.0038328	"Tolerant"	"non-eQTL"	NA	NA
"PAGE2"	0.057156	"Tolerant"	"non-eQTL"	NA	NA
"MC4R"	0.00091697	"Tolerant"	"non-eQTL"	NA	NA
"PDZK1IP1"	0.00091769	"Tolerant"	"non-eQTL"	NA	NA
"PILRA"	1.726e-11	"Tolerant"	"non-eQTL"	NA	NA
